,state_number,consecutive_number,vehicle_number,drivers_vision_obscured_by,drivers_vision_obscured_by_name
318,56,560095,1,0,No Obstruction Noted
319,56,560096,1,0,No Obstruction Noted
320,56,560073,1,0,No Obstruction Noted
321,56,560067,1,0,No Obstruction Noted
322,56,560068,1,0,No Obstruction Noted
323,56,560069,1,0,No Obstruction Noted
324,56,560070,1,0,No Obstruction Noted
325,56,560071,1,0,No Obstruction Noted
326,56,560072,1,0,No Obstruction Noted
327,56,560074,1,0,No Obstruction Noted
328,56,560075,1,0,No Obstruction Noted
329,56,560076,1,0,No Obstruction Noted
330,56,560077,1,0,No Obstruction Noted
331,56,560078,1,0,No Obstruction Noted
332,56,560079,1,0,No Obstruction Noted
333,56,560080,1,0,No Obstruction Noted
334,56,560124,1,0,No Obstruction Noted
335,56,560116,1,0,No Obstruction Noted
336,56,560117,1,0,No Obstruction Noted
337,56,560118,1,0,No Obstruction Noted
338,56,560119,1,0,No Obstruction Noted
339,56,560120,1,0,No Obstruction Noted
340,56,560121,1,0,No Obstruction Noted
341,56,560122,1,0,No Obstruction Noted
342,56,560123,1,0,No Obstruction Noted
343,56,560115,1,0,No Obstruction Noted
344,56,560125,1,0,No Obstruction Noted
345,56,560126,1,0,No Obstruction Noted
346,56,560127,1,0,No Obstruction Noted
347,56,560128,1,0,No Obstruction Noted
348,56,560129,1,0,No Obstruction Noted
349,56,560130,1,0,No Obstruction Noted
350,56,560105,1,0,No Obstruction Noted
351,56,560097,1,0,No Obstruction Noted
352,56,560098,1,0,No Obstruction Noted
353,56,560099,1,0,No Obstruction Noted
354,56,560100,1,0,No Obstruction Noted
355,56,560101,1,0,No Obstruction Noted
356,56,560102,1,0,No Obstruction Noted
357,56,560103,1,0,No Obstruction Noted
358,56,560104,1,0,No Obstruction Noted
359,56,560106,1,0,No Obstruction Noted
360,56,560107,1,0,No Obstruction Noted
361,56,560108,1,0,No Obstruction Noted
362,56,560109,1,0,No Obstruction Noted
363,56,560110,1,0,No Obstruction Noted
364,56,560111,1,0,No Obstruction Noted
365,56,560112,1,0,No Obstruction Noted
366,56,560113,1,0,No Obstruction Noted
367,56,560114,1,0,No Obstruction Noted
368,56,560028,1,0,No Obstruction Noted
369,56,560029,1,0,No Obstruction Noted
370,56,560030,1,0,No Obstruction Noted
371,56,560031,1,0,No Obstruction Noted
372,56,560027,1,0,No Obstruction Noted
373,56,560032,1,0,No Obstruction Noted
374,56,560033,1,0,No Obstruction Noted
375,56,560018,1,0,No Obstruction Noted
376,56,560011,1,0,No Obstruction Noted
377,56,560012,1,0,No Obstruction Noted
378,56,560013,1,0,No Obstruction Noted
379,56,560014,1,0,No Obstruction Noted
380,56,560015,1,0,No Obstruction Noted
381,56,560016,1,0,No Obstruction Noted
382,56,560017,1,0,No Obstruction Noted
383,56,560034,1,0,No Obstruction Noted
384,56,560019,1,0,No Obstruction Noted
385,56,560020,1,0,No Obstruction Noted
386,56,560021,1,0,No Obstruction Noted
387,56,560022,1,0,No Obstruction Noted
388,56,560023,1,0,No Obstruction Noted
389,56,560024,1,0,No Obstruction Noted
390,56,560025,1,0,No Obstruction Noted
391,56,560026,1,0,No Obstruction Noted
392,56,560058,1,0,No Obstruction Noted
393,56,560051,1,0,No Obstruction Noted
394,56,560052,1,0,No Obstruction Noted
395,56,560053,1,0,No Obstruction Noted
396,56,560054,1,0,No Obstruction Noted
397,56,560055,1,0,No Obstruction Noted
398,56,560056,1,0,No Obstruction Noted
399,56,560057,1,0,No Obstruction Noted
400,56,560050,1,0,No Obstruction Noted
401,56,560059,1,0,No Obstruction Noted
402,56,560060,1,0,No Obstruction Noted
403,56,560061,1,0,No Obstruction Noted
404,56,560062,1,0,No Obstruction Noted
405,56,560063,1,0,No Obstruction Noted
406,56,560064,1,0,No Obstruction Noted
407,56,560065,1,0,No Obstruction Noted
408,56,560066,1,0,No Obstruction Noted
409,56,560035,1,0,No Obstruction Noted
410,56,560036,1,0,No Obstruction Noted
411,56,560037,1,0,No Obstruction Noted
412,56,560038,1,0,No Obstruction Noted
